	S5_1	S5_2	S5_3	S5_4	S5_5	S5_6	S5_7	S5_8
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0	0	6.18E-05	0	0	2.06E-05	6.18E-05	6.18E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	0.002387961	0.002964366	0.005599358	0.010107664	0.003705457	0.001029294	0.000226445	0.000267616
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp22;g__Gp22	0.000102929	2.06E-05	0.000102929	2.06E-05	0.000102929	0.000905778	8.23E-05	0.000658748
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter	2.06E-05	6.18E-05	2.06E-05	2.06E-05	6.18E-05	0	0	4.12E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	6.18E-05	0	2.06E-05	0	0	8.23E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limibacillus	0	0	0	0	0	2.06E-05	2.06E-05	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Chryseolinea	0	0.000164687	0.000185273	0.000185273	2.06E-05	0.000267616	0.000411717	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter	0.004899438	0.005805216	0.001441011	0.000432303	0.005578772	0.006813924	0.002285032	0.002552648
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloligella	0	0	0	0	0	0	2.06E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0	0	0	0	2.06E-05	0	2.06E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0	0	4.12E-05	0	0	0	4.12E-05	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter	0.000391132	0.000370546	0.000411717	0.000391132	0.000391132	0.001811557	0.001235152	0.000638162
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales	4.12E-05	0.000164687	2.06E-05	0	4.12E-05	4.12E-05	4.12E-05	0.000370546
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Thermodesulfovibrio	0	2.06E-05	0	0	0	4.12E-05	6.18E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa	0.001420425	0.000226445	0.000988122	0.001811557	0.001193981	0.002655578	0.000123515	0.000329374
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia	4.12E-05	6.18E-05	4.12E-05	2.06E-05	0	0	2.06E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	0.000185273	8.23E-05	8.23E-05	0.000226445	0.000411717	0.000102929	0	0.000164687
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa	0	2.06E-05	0	0	4.12E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thioprofundum	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia	4.12E-05	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sterolibacteriaceae;g__Methyloversatilis	0.001255738	0.003211396	0.001688042	0.000370546	0.002511477	0.006114005	0.007287399	0.009325401
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Chitinimonas	0.00094695	0.002120345	0.001708628	0.000329374	0.001914486	0.011383988	0.010210593	0.01955658
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.002490891	0.000741091	0.003314326	0.001317496	0.002223274	0.001399839	0.00069992	0.000823435
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.00024703	0	0	2.06E-05	0.000164687	0.000123515	0.000185273	0.000329374
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.002223274	0.000494061	0.000123515	0	0.000267616	0.000802849	0.000638162	0.00059699
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	0.001749799	0.000720506	0.001008708	0.001317496	0.00069992	0.000782263	0.000185273	0.000288202
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	0	2.06E-05	0	0	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria	6.18E-05	8.23E-05	0.00024703	6.18E-05	0.000205859	0.001873315	0.000226445	0.000905778
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.000185273	0.00024703	0.000226445	0.000185273	6.18E-05	0.000638162	0.000391132	0.000432303
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Lacibacterium	4.12E-05	0.00104988	0.000329374	6.18E-05	0.00024703	0.002923194	0.000473475	0.000494061
k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum	0	0	0	2.06E-05	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;g__Gp1	0.002182103	0.001338082	0.006813924	0.004220104	0.003211396	0.001399839	0.001193981	0.001585112
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum	0	0	0	0	0	2.06E-05	2.06E-05	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mariniflexile	0	2.06E-05	4.12E-05	0.000123515	4.12E-05	0.000123515	4.12E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter	6.18E-05	0	0.000288202	0.000226445	2.06E-05	0.000391132	0.000102929	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae;g__Thiobacillus	0	0.000308788	0.000535233	0	2.06E-05	0.000555819	0.002490891	0.001399839
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_2	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium	0	0	0	0	2.06E-05	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter	0	0.000494061	8.23E-05	6.18E-05	2.06E-05	8.23E-05	2.06E-05	6.18E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola	0	2.06E-05	2.06E-05	2.06E-05	4.12E-05	0	0	4.12E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.000391132	0.000432303	0.000823435	0.004096589	0.000741091	0.001132223	0.000123515	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	2.06E-05	4.12E-05	8.23E-05	2.06E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile	0	2.06E-05	0	6.18E-05	0	0	0	0
k__Bacteria;p__Acidobacteria	0	6.18E-05	0.000576404	6.18E-05	4.12E-05	0.001193981	0.000494061	0.000226445
k__Bacteria;p__Acidobacteria	0	6.18E-05	6.18E-05	0.000205859	0	0	0.000144101	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum	0	0	0	0	2.06E-05	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira	0.002429133	0.00024703	0.001214567	0.001626284	0.001852729	0.000432303	0.000144101	0.000329374
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus	0	0.000308788	0.000720506	0.000102929	4.12E-05	0.004158347	0.00104988	0.004014245
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Fodinicurvata	0	2.06E-05	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa	0.000185273	0	2.06E-05	0.000391132	0.000411717	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio	0	6.18E-05	4.12E-05	4.12E-05	0	0.000185273	0.000102929	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella	0	0	0	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	2.06E-05	0	0	0	0	0	6.18E-05	0
