	S5_1	S5_2	S5_3	S5_4	S5_5	S5_6	S5_7	S5_8
k__Bacteria;p__Latescibacteria;g__Latescibacteria_genera_incertae_sedis	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio	0	0	0	0	0	0	0	0
k__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Rhodohalobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Granulosicoccaceae;g__Sulfuriflexus	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia	0	0	2.06E-05	4.12E-05	0	2.06E-05	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	6.18E-05	0	2.06E-05	4.12E-05	0.000123515	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	2.06E-05	0	2.06E-05	8.23E-05	0.000267616	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae	0	0	0.000432303	0	4.12E-05	0	0.000411717	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp21;g__Gp21	0	6.18E-05	0	0	0	0.000123515	0.000473475	0.000514647
k__Bacteria;p__Firmicutes	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	0	0	2.06E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp15;g__Gp15	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp25;g__Gp25	2.06E-05	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria	2.06E-05	2.06E-05	0.000267616	0.000164687	0.000123515	0	0	0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	4.12E-05	0	2.06E-05	0	0	6.18E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.000226445	0	0	0	4.12E-05	0	4.12E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Pseudorhodoplanes	0.000123515	0	0.000185273	0	2.06E-05	8.23E-05	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	0	8.23E-05	4.12E-05	0	0	4.12E-05	2.06E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	2.06E-05	0	2.06E-05	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Xenophilus	0.000185273	2.06E-05	6.18E-05	0.000123515	0.000226445	0	0	6.18E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	2.06E-05	0	0	0	0	0	6.18E-05	0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sediminispirochaeta	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum	2.06E-05	0	4.12E-05	0	0.000102929	2.06E-05	2.06E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter	0	0	0	2.06E-05	0	0	6.18E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloceanibacter	0	2.06E-05	0	6.18E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus	0	4.12E-05	4.12E-05	0	0	8.23E-05	2.06E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Sideroxydans	0	4.12E-05	0.000144101	0	0	0	6.18E-05	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiales_incertae_sedis;g__Aciditerrimonas	0	0	2.06E-05	0	0	2.06E-05	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter	0.000452889	0.00024703	0.000226445	4.12E-05	0.000514647	2.06E-05	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Phaselicystidaceae;g__Phaselicystis	0	0	6.18E-05	4.12E-05	0	0.000205859	0	0.000102929
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thiolapillus	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Mizugakiibacter	8.23E-05	8.23E-05	8.23E-05	0	6.18E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae;g__Arboricoccus	0	2.06E-05	0	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Parvibaculaceae;g__Anderseniella	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limimonas	8.23E-05	2.06E-05	0.00024703	8.23E-05	4.12E-05	2.06E-05	0.000288202	0.00024703
k__Bacteria;p__BRC1;g__BRC1_genera_incertae_sedis	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0	0	2.06E-05	0	0	0	6.18E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium	0	0	2.06E-05	0	0	2.06E-05	0	8.23E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sterolibacteriaceae;g__Methyloversatilis	6.18E-05	8.23E-05	0	0	2.06E-05	0	2.06E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium	0.000164687	2.06E-05	6.18E-05	0.000144101	0.000144101	0.000144101	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Kofleria	4.12E-05	0	0	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Chondromyces	0	0	2.06E-05	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia	0	0	0	0	0	0	0	0
k__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubrivirga	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus	0	0	0	0	0	0	0	0
k__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Salisaetaceae;g__Roseithermus	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2	0	0.000288202	0	0	0	2.06E-05	0.000102929	0
k__Bacteria;p__BRC1;g__BRC1_genera_incertae_sedis	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	0	2.06E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limimonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Phaeodactylibacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium	0.000185273	2.06E-05	0	0	4.12E-05	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum	0	0	0	0	0	0	0	2.06E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Maribellus	0	0	0	0	0	0	0	0
k__Bacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	4.12E-05	0.000123515	2.06E-05	6.18E-05	0	0.000102929	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp15;g__Gp15	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas/Armatimonadetes_gp1	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0.000123515	0.000123515	0.000185273	0.000267616	0.000226445	0.000329374	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Hydrocarboniphaga	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	0	0	6.18E-05	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Salibacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thiohalomonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Imperialibacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiales_incertae_sedis;g__Aciditerrimonas	0	0	0	0	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Maricaulis	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.000267616	2.06E-05	0.000226445	0.00024703	2.06E-05	2.06E-05	2.06E-05	6.18E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Kofleria	0	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Bacillus	0	0	0	0	0	0	0	0
k__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubrivirga	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter	0	0	0	0	0	0.00069992	0	4.12E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2	0	0	2.06E-05	0.000123515	2.06E-05	0.000864607	2.06E-05	4.12E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0.000411717	2.06E-05	2.06E-05	0	0	0	0	0
k__Bacteria	0	0	0	0	0	0	0	0.000102929
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Baekduiaceae;g__Baekduia	0	0	0	0	2.06E-05	2.06E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Actinomarinicola	0	0	4.12E-05	0	0	0.000185273	0	0
k__Bacteria;p__Proteobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter	0	0	0	0	0	0	0	4.12E-05
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloligella	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae;g__Simkania	0	0	2.06E-05	0	0.000123515	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Aromatoleum	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	0.000185273	0.000452889	0.00034996	0.000144101	6.18E-05	0.000144101	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Kofleria	0	2.06E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosalsimonas	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Baekduiaceae;g__Baekduia	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatitalea	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3	0.000123515	0	2.06E-05	0	0	4.12E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis	2.06E-05	0	0	2.06E-05	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Fulvivirga	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosarcina	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	0	0	0	0	2.06E-05	0	6.18E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatiglans	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	4.12E-05	2.06E-05	2.06E-05	6.18E-05	0.000144101	4.12E-05	0.000617576	4.12E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	2.06E-05	0	0.000102929	0	8.23E-05	2.06E-05	2.06E-05	4.12E-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Roseivirgaceae;g__Roseivirga	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Chelativorans	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Phaeodactylibacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Cyclobacterium	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	0	0	4.12E-05	0	0	2.06E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis;g__Alkalimonas	0	0	2.06E-05	0	0	0	6.18E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	0	4.12E-05	0	0	0	4.12E-05	2.06E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catelliglobosispora	0	0	2.06E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp15;g__Gp15	0	4.12E-05	0.000144101	0.000144101	0	4.12E-05	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Nitrobacter	0	4.12E-05	0	0	2.06E-05	0	2.06E-05	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp7;g__Gp7	0	0	0	0	0	0	0	0
k__Bacteria	0	0	0	0	0	0	4.12E-05	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0	2.06E-05	2.06E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp5;g__Gp5	4.12E-05	0	0.000123515	0.000144101	0.000123515	8.23E-05	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	0	0	0	0	0	0	0	0
k__Bacteria	2.06E-05	0	6.18E-05	0	2.06E-05	4.12E-05	2.06E-05	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;g__Gp10	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae	2.06E-05	2.06E-05	4.12E-05	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.000102929	0	4.12E-05	0	0	2.06E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limibacillus	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	0	2.06E-05	8.23E-05	8.23E-05	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae	0	0	0	0	0	0	0	4.12E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	6.18E-05	0	2.06E-05	0	2.06E-05	0	0	0
k__Bacteria	0	0	0	0	0	0	0	0
k__Bacteria	0	4.12E-05	6.18E-05	0	2.06E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.00024703	0	0.000144101	8.23E-05	6.18E-05	2.06E-05	0	4.12E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Racemicystis	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0	2.06E-05	2.06E-05	0	0	0	0	0.000205859
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	0	4.12E-05	4.12E-05	2.06E-05	0	0	0	0.000391132
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	4.12E-05	0	0	0	0	0	0	6.18E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0	0	4.12E-05	0	0	0.000102929	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Chondromyces	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus	0	0	0	0	0	0	0	0
